产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->酱油,老式清酱,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,正阳河,哈尔滨正阳河调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475941
调味品-->酱油,味美思酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,味美思,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475913
调味品-->酱油,东古酱油,,黑龙江市场监管局,合格,2015-02-04,,650ml/瓶,东古,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475906
调味品-->酱油,特级草菇老抽,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,海天,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475908
调味品-->酱油,一品鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,东古,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475905
调味品-->酱油,特级御品鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,珠江桥牌,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475909
调味品-->酱油,凉拌酱油酿造,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,老才臣,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475907
调味品-->酱油,海鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,东古,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475903
调味品-->酱油,特鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,800ml/瓶,东古,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475904
调味品-->酱油,一品鲜特级,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,厨邦,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475910
调味品-->酱油,黄豆酱油酿,,黑龙江市场监管局,合格,2015-02-04,,1.75L/瓶,老才臣,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475911
调味品-->酱油,酱油,,黑龙江市场监管局,合格,2015-02-04,,650ml/瓶,东古,鹤山市东古调味食品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475895
调味品-->酱油,味极鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,海天,佛山市海天(高明）调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475897
调味品-->酱油,炒菜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,优和,长春万惠食品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475898
调味品-->酱油,一品鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,珠江桥,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475912
调味品-->酱油,老抽王,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,佐香园,辽宁帝华味精食品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475896
调味品-->酱油,酱油,,黑龙江市场监管局,合格,2015-02-04,,623ml/瓶,,上海太太乐食品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475899
调味品-->酱油,海天特级一品鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,海天,佛山市海天（高明）调味食品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475894
调味品-->酱油,烹调酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,加加,郑州思念食品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475900
调味品-->酱油,特级味极鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,海天,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475901
调味品-->酱油,经典海鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,1.28L/瓶,海天,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475902
调味品-->酱油,鲁花自然鲜,,黑龙江市场监管局,合格,2015-02-04,,160ml/瓶,自然鲜,山东鲁花生物科技有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475893
调味品-->酱油,北京酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/袋,金狮,天津翠波食品有限责任公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475892
调味品-->酱油,海鲜老字号零添加头道酱油,,黑龙江市场监管局,合格,2015-02-04,,250ml/瓶,海天,佛山市海天（高明）调味食品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475891
调味品-->酱油,太太乐宴会酱油,,黑龙江市场监管局,合格,2015-02-04,,623ml/瓶,太太乐,上海太太乐食品,齐齐哈尔百货大楼股份有限公司,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475887
调味品-->酱油,味极鲜酿造酱油,,黑龙江市场监管局,合格,2015-02-04,,380ml/瓶,味事达,福达（上海）食品,哈尔滨家乐福超市有限公司,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475886
调味品-->酱油,精选生抽,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,李锦记,李锦记（新会）食品,哈尔滨家乐福超市有限公司,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475884
调味品-->酱油,东古海鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,150ml/瓶,东古,鹤山市东古调味食品,哈尔滨家乐福超市有限公司,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475885
调味品-->酱油,海天酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,海天,佛山市海天(高明)调味食品有限公司,齐齐哈尔百货大楼股份有限公司,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475890
调味品-->酱油,东古一品鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,东古,鹤山市东古调味食品,齐齐哈尔百货大楼股份有限公司,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475888
调味品-->酱油,东古特级,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,东古,鹤山市东古调味食品,齐齐哈尔百货大楼股份有限公司,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475889
调味品-->酱油,御厨酱油（酿造酱油）,香菇酱油醋酿造厂,原国家食药总局,合格,2015-02-16,,480ml/瓶 低盐固态烹调,,香菇酱油醋酿造厂,农十师188团阿福路,香菇酱油醋酿造厂,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502795
调味品-->酱油,黄豆酱油,兰州西单商场百货有限公司,原国家食药总局,合格,2015-02-16,,400克,,甘肃凉州益民有限责任公司,武威市凉州区天马大道1号,兰州西单商场百货有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502760
